Bus Route,Stop (Intersection),Latitude,Longitude
9020,Emmons Avenue & East 16th Street,40.5834,-73.9523
9020,Oriental Blvd & Hastings St,40.5779,-73.9448
9020,Oriental Blvd & Amherst St,40.577,-73.9519
9020,Neptune Avenue & Coney Island Ave,40.582,-73.9603
9163,28th Avenue & Harway Avenue,40.590017,-73.985131
9163,20th Avenue & Cropsey Avenue,40.5999,-73.9945
9111,Benson Avenue & Bay 31st Street,40.6055,-73.9945
9111,Benson Avenue & 19th Avenue,40.6102,-74.0005
9111,18th Avenue & 84th Street,40.60851,-74.000976
9111,21st Avenue & 74th Street,40.6101,-73.9889
9111,20th Avenue & 77th Street,40.6097,-73.993
9111,17th Avenue & 63rd Street,40.6217,-73.9913
9115,Surf Avenue & West 5th Street,40.575019,-73.973885
9115,Avenue V & West 11th Street,40.5915,-73.9795
9115,Neptune Avenue & West 5th Street,40.58,-73.9726
9115,Neptune Avenue & Ocean Parkway (Service Rd),40.5805,-73.9671
9115,Neptune Avenue & Brighton 5th St,40.5793,-73.9721
9115,Neptune Avenue & West 12th Street,40.5796,-73.9798
9115,Sheepshead Bay Rd & West 5th Street,40.59452,-73.959091
9122,Benson Avenue & 26th Avenue,40.6005,-73.9905
9122,21st Avenue & 84th Street,40.6044,-73.9948
9122,20th Avenue & 68th Street,40.6148,-73.9877
9122,Bath Avenue & Bay Parkway,40.598828,-73.997572
9122,26th Avenue & Cropsey Avenue,40.590814,-73.991686
9132,Avenue Z & Coney Island Ave,40.5874,-73.960143
9132,Avenue X & East 2nd Street,40.590774,-73.96878
9132,Avenue Z & West 2nd Street,40.586195,-73.97112
9132,Avenue X & West Street,40.590589,-73.970569
9158,Benson Avenue & 24th Avenue,40.6025,-73.9925
9158,Highlawn Ave & West 13th Street,40.604711,-73.980314
9158,Avenue O & West 8th Street,40.614631,-73.970814
9158,Avenue K & East 10th Street,40.623913,-73.963842
9158,Avenue I & East 3rd Street,40.626244,-73.974583
9284,Avenue P & West 6th Street,40.60851,-73.977434
9284,Avenue P & West 2nd Street,40.609553,-73.973147
9284,Avenue P & West 10th Street,40.607468,-73.981721
9284,West 6th Street & Wolf Place,40.60981,-73.977098
9173,Avenue S & Coney Island Ave,40.602705,-73.961678
9173,Avenue R & Ocean Parkway (Service Rd),40.6045,-73.9665
9173,Avenue P & East 10th Street,40.607468,-73.981721
9173,Avenue S & West 6th Street,40.60181,-73.979166
9173,Avenue S & East 2nd Street,40.602853,-73.974879
9249,Brighton Beach Ave & Brighton 11th St,40.57718,-73.957581
9249,Brighton Beach Ave & Ocean Pkwy,40.5765,-73.9675
9249,Neptune Avenue & West 37th Street,40.577131,-74.00319
9197,23rd Avenue & 63rd Street,40.6137,-73.978
9197,Avenue I & Coney Island Ave,40.627178,-73.966115
9197,21st Avenue & 61st Street,40.6175,-73.9813
9197,Avenue M & East 16th Street,40.616849,-73.959317
9197,Avenue M & Ocean Parkway (Service Rd),40.6169,-73.9687
9197,Avenue L & Coney Island Ave,40.619635,-73.964344
9369,Avenue U & Ocean Parkway (Service Rd),40.5977,-73.9659
9369,Avenue W & Coney Island Ave,40.593481,-73.960978
